変圧器容量 （kVA）,,20,,30,,50,75,100,150,200,300,500,750,1000,1500,,2000
,,,,,,,,,,,,,,,,,
,短絡インピーダンス（%）,2.3,,2.2,,2.3,2.2,2.8,2.6,2.6,2.9,4,3.9,3.7,5.1,,4.2
定格二次電流（A）,,27,,41,,69,103,137,206,275,412,687,1031,1375,2062,,2749
短絡電流（kA）,,1.2,,1.9,,3.0,4.7,4.9,7.9,10.6,14.2,17.2,26.4,37.2,40.4,,65.5
遮断容量（kA）,,1.5,,2.5,,7.5,,,10,18,,,30,36,50,65,70
,,,,,,,,,,,,,,,,,
32AF,,,EW32EAG,,EW32SAG,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
50AF,,,,,EW50EAG,EW50SAG,,,EW50RAG,EW50HAG,,,,,,,
,,,,,,,,,,,,,,,,,
63AF,,,,,EW63EAG,EW63SAG,,,EW63RAG,,,,,,,,
,,,,,,,,,,,,,,,,,
"100AF
125AF",,,,,EW125JAG,EW100EAG,,,,,,,,EW125RAG,,EW125HAG,
,,,,,,,,,,,,,,,,,
250AF,,,,,,,,EW250EAG,,,,,EW250JAG,EW250RAG,,EW250HAG,
,,,,,,,,,,,,,,,,,
400AF,,,,,,,,,,EW400EAG,,,,EW400SAG,EW400RAG,EW400HAG,
,,,,,,,,,,,,,,,,,
630AF,,,,,,,,,,,,EW630EAG,,,EW630RAG,EW630HAG,
,,,,,,,,,,,,,,,,,
800AF,,,,,,,,,,,,,EW800EAG,,EW800RAG,EW800HAG,
,,,,,,,,,,,,,,,,,
